Category,Organization,Phone,Address,Website,Hours,ProgramName,ProgramDescription,Cost,EligibilityNotes,Veteran,Disability,Age,Gender
ADVOCACY,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",Metro Outreach,"Street outreach, program referrals and crisis intervention to engage homeless individuals in critical services and to improve safety in the downtown business community",,,N,N,N,N
OTHER,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",M.O.N.E.Y. (More Opportunities Needed Economically-Yes),"Target financial literacy programs for middle school students, high school students and adults to increase knowledge about financial concepts, lower reliance on predatory financial practices, increase financial skills, and increase homeownership rates",,,N,N,N,N
HEALTHCARE,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",S.A.V.E. (Substance Abuse Variation Exploration),"Outpatient substance abuse treatment program that provides assessments, individual counseling, groups and aftercare for adults and juveniles (Medicaid provider)",,,N,N,N,N
HEALTHCARE,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",Culturally Competent Treatment Program (CCTP),IDPH pilot project that provides free outpatient treatment services to African Americans who do not have traditional access to services,,,N,N,N,N
HEAlTHCARE,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",Access to Recovery (ATR),Provides referrals and vouchers for supportive services to individuals in the process of recovery,,,N,N,N,N
HEAlTHCARE,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",OWI Classes,Three-day program that works to reduce reoccurrence of OWI violation in conjunction with Polk County Courts,,,N,N,N,N
HEALTHCARE,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.","S.M.A.R.T. (Skills Modeling and Remedial Training),",Skill-building remedial services to help youth overcome symptoms of a mental health diagnosis and improve functioning in the community,,,N,Y,6 -21,N
HEALTHCARE,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",Social Mediation,"Provides consultation and assistance with issues involving race, education, youth conflict and community concerns to any individual or community",,,N,N,N,N
HEALTHCARE,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",Teenage Pregnancy Prevention,Community education and afterschool groups for youth that focuses on culturally-competent pregnancy and HIV/STD prevention,,,N,N,N,N
HEALTHCARE,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",Tobacco Cessation Project,"Statewide program that works with local coalitions to develop assessments, strategies and services to reduce tobacco usage among African-American populations in Iowa",,,N,N,11 -14,N
OTHER,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",V.O.T.E.(Voting Opportunities Through Education),A statewide non-partisan effort to increase civic engagement in areas with historically low voter turnout,,,N,N,N,N
OTHER,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",Iowa Brown and Black Forum,"A non-partisan forum that addresses minority issues in presidential, gubernatorial and other elections",,,N,N,N,N
OTHER,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",West Side Boxing Club,"Urban Dreams administers this program, which gives young people an opportunity to learn boxing skills and pro-social behaviors with the Des Moines Police Department ",,,N,N,N,N
OTHER,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",Youth Recreation,"Offers athletic involvement, sports events, arts and cultural experiences to youth and their families",,,N,N,N,N
OTHER,Urban Dreams,515.288.4742,"1410 6th Avenue, Des Moines, Iowa 50314",http://www.urbandreams.org/,"9:00 a.m. to 11:00 p.m. Monday through Friday and Saturdays from 9:00 a.m. to noon. In addition, every member of Urban Dreams' staff remains on call 24 hours a day, 7 days a week.",Youth Safe Haven,"A community-based, after-school program for inner-city students to improve academics and establish mentoring relationships",,,N,N,6 -11,N
HEALTHCARE,"WIC (Women, Infant, and Children)",515.282.5800,"2300 Euclid Avenue, Suite D",http://www.broadlawns.org/womens-health.cfm,Monday through Friday:    8 a.m. to 4:30 p.m.,WIC,"WIC is a federally funded nutrition program for children up to the age of five, as well as for women who are pregnant, postpartum or breastfeeding and meet eligibility guidelines. WIC provides food assistance, nutrition education and referrals for family-related services.",0,,N,N,N,F
HEALTHCARE,Young Women’s Resource Center ,515.244.4901,"818 5th Avenue, Des Moines, IA 50309",http://www.ywrc.org/,,Therapy,"Master’s level Mental Health Counselors provide individual therapy services to young women in schools, at local shelters and at the YWRC.",,,N,N,10 -21,F
OTHER,Young Women’s Resource Center,515.244.4901,"818 5th Avenue, Des Moines, IA 50309",http://www.ywrc.org/,,Problem Solving,"Six week Problem Solving sessions are provided in local elementary and middle schools, focusing on the pre-transitional years that occur from fifth to eighth grade. Problem Solving offers support and education on the following topics: body image, self-esteem, relationships and reproductive health.",,,N,N,10 -21,F
CHILDCARE,Young Women’s Resource Center,515.244.4901,"818 5th Avenue, Des Moines, IA 50309",http://www.ywrc.org/,,After School Groups,The YWRC holds weekly After School Groups for young women in fifth through twelfth grades in the Des Moines area. After School Groups are an extension of the Problem Solving program; participants take an active role in determining topics and activities. ,,,N,N,10 -13,F
CHILDCARE,Young Women’s Resource Center,515.244.4901,"818 5th Avenue, Des Moines, IA 50309",http://www.ywrc.org/,,Mariposa Group,"Mariposa, meaning “butterfly,” is a weekly after school group designed exclusively for Latina young women in middle and high schools throughout Des Moines.",,,N,N,11 -19,F
ADVOCACY,Young Women’s Resource Center,515.244.4901,"818 5th Avenue, Des Moines, IA 50309",http://www.ywrc.org/,,"R3 (Rights, Respect and Responsibility)","R3, which meets weekly at the YWRC, is a youth activist group comprised of around 20 metro high school students, ages 14 to 21. These students provide education to their peers in the community on healthy relationships and pregnancy prevention. ",,,N,N,10 -21,M
HEALTHCARE,Young Women’s Resource Center,515.244.4901,"818 5th Avenue, Des Moines, IA 50309",http://www.ywrc.org/,,Connections,"Connections utilizes a cognitive-behavioral therapeutic approach in this weekly group which serves young women who struggle with issues of anger management, poor impulse control and other related topics. ",,,N,N,12 -18,F
OTHER,Young Women’s Resource Center,515.244.4901,"818 5th Avenue, Des Moines, IA 50309",http://www.ywrc.org/,,Summer Programs,"Programs designed to offer young women an interactive, supportive and safe environment in which to learn and enjoy during the summer months.",,,N,N,10 -18,F
OTHER,Young Women’s Resource Center,515.244.4901,"818 5th Avenue, Des Moines, IA 50309",http://www.ywrc.org/,,Sheroes,"Sheroes Young Women’s Philanthropy Institute is comprised of 25 to 30 high school girls, ages 16 through 18, who aspire to become leaders in the community through volunteerism and philanthropy. Sheroes directly benefits and volunteers for the Young Women’s Resource Center.",,,N,N,16 -18,F
HEALTHCARE,Young Women’s Resource Center,515.244.4901,"818 5th Avenue, Des Moines, IA 50309",http://www.ywrc.org/,,Survivor Support Group,"Weekly groups are held in local middle and high schools, as well as at the YWRC. These groups, facilitated by the YWRC’s Mental Health Counselor and a counselor from Polk County Crisis and Advocacy Services, provide support to young women who have been impacted by domestic violence and/or sexual abuse. ",,,N,N,12 - 19,F
HEALTHCARE,Young Women’s Resource Center,515.244.4901,"818 5th Avenue, Des Moines, IA 50309",http://www.ywrc.org/,,Better Beginnings Doula Program,"Doula, in the Greek language, is defined as “mother to the mother.” Doulas provide practical support, mentoring and coaching to young women before, during and after the birth of their child. ",,,N,N,14 -21,F
HEALTHCARE,Young Women’s Resource Center,515.244.4901,"818 5th Avenue, Des Moines, IA 50309",http://www.ywrc.org/,,Childbirth Education ,"Eight week Childbirth Education classes are held at the YWRC. They provide comprehensive pregnancy, labor, birth and postpartum education for young women and their partners. ",,,N,N,14 -21,F
HEALTHCARE,Young Women’s Resource Center,515.244.4901,"818 5th Avenue, Des Moines, IA 50309",http://www.ywrc.org/,,Young Moms,The weekly Young Moms Program provides education and support to parenting and pregnant young women in local high schools and at the YWRC. A full meal and childcare are provided for the evening Young Moms group. ,,,N,N,14 -21,F
EMERGENCY SHELTER,Bethel Mission,515-244-5445  ,1310 6th Avenue Des Moines,http://www.hopeiowa.org/facilities/bethel.php,,STEP Program,"For men who wish to make lasting changes in their lives, we offer our 8-12 month Journey of Hope recovery program.  The first step in this continuum of care is a program we call STEP (Structured Transition and Evaluation Period) which provides a two to four week time to evaluate the candidates’ level of commitment and their ability to live within a structured program that requires discipline and accountability.   If it is determined that the STEP resident has demonstrated commitment to the program they are given the privilege to transfer to our Door of Faith facilities – a long-term recovery and rehabilitation center for homeless men. Our Bethel mission facility is the largest privately funded emergency shelter for homeless men in Iowa with 108 beds.  Our shelter guests receive a clean and safe place to stay, hot and nutritious meals, Bible studies, individual case management and Christian counseling.",,,N,N,N,M
EMERGENCY SHELTER,Des Moines Area Interfaith Hospitality Network,515-277-7051,"4114 Allison Avenue Des Moines, IA 50310",http://www.dmihn.org/,,Des Moines Area Interfaith Hospitality Network,"Capacity to serve families with a single male head of household, two parent families as well as multigenerational families. Initial length of stay is 30 days, but a family may stay for up to 90 days.",0,"Cannot Accept people with untreated mental illness, substance abuse, or people fleeing domestically violent situations. Also cannot accept people with a criminal record that puts other clients in danger",N,N,N,N
EMERGENCY SHELTER,Youth Emergency Services and Shelter,515-282-9377,918 SE 11th Street Des Moines 50309,http://yessiowa.typepad.com/,"Check-in anytime, No office hours",Shelter,"Youth age nine through 12 (both males and females), are served on a specialized unit designed with activities and structure to meet their developmental needs.  Our older youth (ages 13 through 17) are served on gender specific units.  Both of these units provide age appropriate, structured, activities and programming designed to meet the individual needs of adolescent youth. Allowed to stay for 3 days if beds are available. Must stay in the shelter for all 3 days, no coming or going without parent pickup. Discharged to parents only after 3-day stay.",0,Must be signed in by parent/guardian (by phone consent if necessary),N,N,9 - 17,N
EMERGENCY SHELTER,St. Joseph Emergency Family Shelter,515-282-1235,"1535 11th Street, Des Moines, IA 50314",http://www.dmdiocese.org/st-joseph-emergency-family-shelter.cfm,,Shelter,"Emergency shelter in Polk County where the entire family unit can stay together. Private rooms with laundry facilities, meals, infant and personal hygiene items. A Family Advocate on staff to assist guests in returning to self-sufficiency. 30-day stay.",0,"Families are accepted on a first come, first serve basis (must call ahead) and there are no waiting lists. Shelter is available for two parents with children, single mothers with children, single fathers with children and parents with children over the age of 16.",N,N,N,N
FINANCIAL RESOURCES,Cross Ministries,515-279-9998,"1050 24th Street Des Moines, Des Moines, IA 50311",http://www.crossministriesdm.org/,9-12 or 1:30-4:30 Tue-Fri,Rent/Mortgage Assistance,"Applicants seen on a first-come, first-served basis. Applicants must bring complete paperwork from General Assistance (located at 19th and Carpenter) or Veterans Affairs showing income and expenses for the past 30 days, a Landlord / Mortgage Holder Statement showing the amount that is currently owed. Those needing a rent deposit do not need to go to General Assistance but will still need to show a current landlord’s statement and receipts for the past 30 days showing the source of income and how those funds have been spent.",0,"Must provide identification. Applicants must bring complete paperwork from General Assistance (located at 19th and Carpenter) or Veterans Affairs showing income and expenses for the past 30 days, a Landlord / Mortgage Holder Statement showing the amount that is currently owed. Those needing a rent deposit do not need to go to General Assistance but will still need to show a current landlord’s statement and receipts for the past 30 days showing the source of income and how those funds have been spent.",N,N,N,N
FINANCIAL RESOURCES,Cross Ministries,515-279-9998,"1050 24th Street Des Moines, Des Moines, IA 50311",http://www.crossministriesdm.org/,9-12 or 1:30-4:30 Tue-Fri,Utilities Assistance,"Applicants seen on a first-come, first-served basis. Applicants must bring complete paperwork from General Assistance or Veterans Affairs and a 12-month printout from the utility company showing payment history.",0,Applicants must bring complete paperwork from General Assistance or Veterans Affairs and a 12-month printout from the utility company showing payment history. Assistance is limited to once in a 12 month period. Must provide identification.,N,N,N,N
FINANCIAL RESOURCES,Cross Ministries,515-279-9998,"1050 24th Street Des Moines, Des Moines, IA 50311",http://www.crossministriesdm.org/,9-12 or 1:30-4:30 Tue-Fri,Personal Hygiene Items and cleaning supplies,"Applicants seen on a first-come, first-served basis.",0,Applicants must bring information on income and expenses for the past 30 days. Assistance is limited to once every 3 month period.,N,N,N,N
FINANCIAL RESOURCES,Cross Ministries,515-279-9998,"1050 24th Street Des Moines, Des Moines, IA 50311",http://www.crossministriesdm.org/,9-12 or 1:30-4:30 Tue-Fri,Bus tokens,"Applicants seen on a first-come, first-served basis. Applicants must bring information on income and expenses for the past 30 days.",0,Applicants must bring information on income and expenses for the past 30 days. Assistance is limited to once every 3 month period.,N,N,N,N
FOOD,Cross Ministries,515-279-9998,"1050 24th Street Des Moines, Des Moines, IA 50311",http://www.crossministriesdm.org/,"Wednesdays 3-6 pm, Saturdays 9 am-noon",Cottage Grove Food Pantry,Food pantry,,"Must bring a valid form of identification for each household member, each time the individual or family visits their designated Food Pantry site, and a piece of mail with the individual or family’s name and current address. Individuals or families are only eligible to receive food from a DMARC Emergency Food Pantry once during any 30 day period.",N,N,N,N
FINANCIAL RESOURCES,Polk County General Assistance,515-286-2088,1900 Carpenter Street Des Moines Ia 50314,http://www.polkcountyiowa.gov/CFYS/pages/generalAssistance.aspx,8 am-4:30 pm Monday-Friday,Financial Assistance,"General Assistance provides temporary assistance with basic and special needs to eligible Polk County residents. Individuals and families who are at risk due to a temporary crisis and/or a mental or physical incapacity and who meet income guidelines may be assisted. We provide assistance for food, shelter, utility payments, household and personal items, funeral services, furniture, clothing, transportation, property tax assistance, emergency shelter, and health supplies.",0,"Eligibility based on Polk County residency, income guidelines and applicant’s circumstances. Veterans must contact Veteran Affairs.",N,N,N,N
EDUCATION,Creative Visions Human Development Institute,515-244-4003,1343 13th Street Des Moines IA 50314,http://creativevisionsia.org/,,GED Tutorials,"Creative Visions is not a G.E. D. site, but provides an opportunity for individuals studying for their G.E.D to use Creative Visions’ computer lab and educational resources to help in studying for the G.E. D. test. Tutors are available on a limited basis and by appointment only.",0,,N,N,N,N
EMPLOYMENT,Creative Visions Human Development Institute,515-244-4003,1343 13th Street Des Moines IA 50314,http://creativevisionsia.org/,,Job Readiness Program,"Creative Visions Job Readiness Program is a Virtual Access Point affiliate in partnership with Iowa’s Workforce Development and the U.S. Department of Labor. In addition to providing computer access to look for employment, and assistance in developing a website, the program also develops employability skills. The Job Readiness program recently developed a Job Club to provide networking and support for job seekers and those seeking to upgrade their employment.",0,,N,N,N,N
FINANCIAL RESOURCES,St. Mary’s Family Center,515-262-7290,1815 Hubbell Avenue Des Moines,,Mon - Fri 10:00AM - 3:30PM,Rent and Utility Assistance,"PHONE APPOINTMENTS ONLY at 10 AM, call before 10:15",0,"Cannot live in Section 8 Housing or Transitional Housing, only one time per year, only one time per year",N,N,N,N
FINANCIAL RESOURCES,St. Vincent de Paul,515-282-8327,1426 6th Avenue Des Moines,,,Rental Assistance (Not for deposit or first month’s rent),Utility help if under $700,0,"Must go through general assistance first, must be lined up outside M-F by 8 AM to make an appointment ",N,N,N,N
FOOD,St. Vincent de Paul,515-282-8327,1426 6th Avenue Des Moines,,,,Food Bank on site,0,,N,N,N,N
TRANSPORTATION,Des Moines Regional Transit Authority,515-283-8100,"1100 Dart Way, Des Moines",,"8am-5pm Monday-Friday; Bus service runs 7 days/week, hours vary by route; Phones answered 6am-7pm Mon-Fri, 7am-5pm Sat, 8am-4pm Sun",OTT (Opportunities Through Transit),discounted bus pass for low-income households,$18/month (must be paid in cash),"Must be a Polk County resident, cannot be in reduced fare or paratransit programs, can’t be employee of company that subsidizes bus passes for employees, must be at least 18 and out of high school, total household income must be below 125% of poverty level. 1-person household.....$13,540; 2-person household.....$18,220; 3-person household.....$22,890; 4-person household.....$27,570",N,N,,
TRANSPORTATION,Des Moines Regional Transit Authority,515-283-8100,"1100 Dart Way, Des Moines",,"8am-5pm Monday-Friday; Bus service runs 7 days/week, hours vary by route; Phones answered 6am-7pm Mon-Fri, 7am-5pm Sat, 8am-4pm Sun",Paratransit,provides transportation for disabled/elderly persons,0,"Eligibility for Paratransit service that is paid by an agency is normally determined by age, disability or income. For example, the gross income for a one-person household must be under $837 per month, without regard to expenses. Eligibility for service requires passengers to have a disability that prevents them from using the fixed-route buses. An application must be completed to determine eligibility.",N,Y,N,N
TRANSPORTATION,Des Moines Regional Transit Authority,515-283-8100,"1100 Dart Way, Des Moines",,"8am-5pm Monday-Friday; Bus service runs 7 days/week, hours vary by route; Phones answered 6am-7pm Mon-Fri, 7am-5pm Sat, 8am-4pm Sun",Senior Citizen's Program,Reduced fare for senior citizens.,0,"Passengers can inquire about the Reduced Fare Program for seniors by calling 515.283.8100 or by stopping by DART’s office at 1100 DART Way, Des Moines. Individuals must be 65 years old or older to qualify and are required to present a current photo ID that includes a date of birth. Applicants can send a copy of their current photo ID if mailing their application.",N,N,>=65,N
TRANSPORTATION,Des Moines Regional Transit Authority,515-283-8100,"1100 Dart Way, Des Moines",,"8am-5pm Monday-Friday; Bus service runs 7 days/week, hours vary by route; Phones answered 6am-7pm Mon-Fri, 7am-5pm Sat, 8am-4pm Sun",Persons with Disability Program,Reduced fare for persons with a disability.,0,"Must fill out an application and provide documentation of their disability.  Ways to show eligibility: 1) proof of social security disability payments from the federal goverment, such as a copy of award letter or check 2) medicare card 3) have a certified agency from the list provided fill out the Agency Certification section on the application 4) have a family physician fill out the Agency Certification section of the application 5) have a service connected veteran’s ID.  Once the applicant is approved, the individual will receive and purple and white identification card from DART that says REDUCED FARE. The card may or may not have an expiration date depending on the nature of the holder’s disability.  With the DART ID card, the individual is eligible to use DART services for reduced fare. The individual may purchase a reduced fare monthly, weekly, or express plus bus pass, reduced fare tokens, or pay cash at a reduced fare reduced rate. Every applicant must show a current photo ID to be approved.  ",N,Y,N,N
HEALTHCARE,Ellefson Medical Clinic,(515) 266-7622,"1607 East 33rd Street, Des Moines",,"Tuesday 1:30pm-4:30Pm, Thursday 5:30pm-8:30pm","Acute illness care (cold, cough, bronchitus), minor injury care(sprains/strains), not for chronic medical conditions ","First come, first served",0,,N,N,N,N
HEALTHCARE,La Clinica de la Esperanza,515-244-6162,"2679 Maury St, DM, IA 50317",,"M,W,TH-8am-5pm, Tuesday 8am-7pm, Friday 8am-3pm","general health care, pediatric, mid-wife, Spanish-speaking/Latino immigrant familes",,0,Appointments need to be made at 8am the day that you need care,N,N,N,N
HEALTHCARE,Margaret Cramer Free Medical Clinic ,515-279-9766 x42,2725 Merle Hay Rd,,,"Illness/minor injury care, Physicals, Well child exams, Diabetes/blood glucose testing, Child immunizations, Adult immunizations, TB testing, Physical therapy, Lead testing, High blood pressure testing",,0,Not veteran specific,N,N,N,N
HEALTHCARE,Polk County Health Department,515-286-3897,"1907 Carpenter Ave. Des Moines, IA 50314",http://www.polkcountyiowa.gov/health/,"Clinic hours:
Tuesday         3:00 pm - 6:30 pm (by appointment)
Wednesday         9:00 am - 4:00 pm (by appointment)
Thursday         9:00 am - 4:00 pm (by appointment)
Friday         9:00 am - 1:00 pm (walk-ins)",AIDS (HIV) Counseling and Testing,,,Must be uninsured,N,N,N,N
HEALTHCARE,Polk County Health Department,515-286-3798,"1907 Carpenter Ave. Des Moines, IA 50314",http://www.polkcountyiowa.gov/health/,"Clinic hours:
Tuesday         3:00 pm - 6:30 pm (by appointment)
Wednesday         9:00 am - 4:00 pm (by appointment)
Thursday         9:00 am - 4:00 pm (by appointment)
Friday         9:00 am - 1:00 pm (walk-ins)",Childhood Lead Testing,,,,N,N,N,N
HEALTHCARE,Polk County Health Department,515-286-3890,"1907 Carpenter Ave. Des Moines, IA 50314",http://www.polkcountyiowa.gov/health/,"Clinic hours:
Tuesday         3:00 pm - 6:30 pm (by appointment)
Wednesday         9:00 am - 4:00 pm (by appointment)
Thursday         9:00 am - 4:00 pm (by appointment)
Friday         9:00 am - 1:00 pm (walk-ins)",Disease Prevention,,,,N,N,N,N
HEALTHCARE,Polk County Health Department,515-286-3798,"1907 Carpenter Ave. Des Moines, IA 50314",http://www.polkcountyiowa.gov/health/,"Clinic hours:
Tuesday         3:00 pm - 6:30 pm (by appointment)
Wednesday         9:00 am - 4:00 pm (by appointment)
Thursday         9:00 am - 4:00 pm (by appointment)
Friday         9:00 am - 1:00 pm (walk-ins)",Employee Health Service,,,,N,N,N,N
HEALTHCARE,Polk County Health Department,515-286-3697,"1907 Carpenter Ave. Des Moines, IA 50314",http://www.polkcountyiowa.gov/health/,"Clinic hours:
Tuesday         3:00 pm - 6:30 pm (by appointment)
Wednesday         9:00 am - 4:00 pm (by appointment)
Thursday         9:00 am - 4:00 pm (by appointment)
Friday         9:00 am - 1:00 pm (walk-ins)",Family Planning,,,,N,N,N,N
HEALTHCARE,Polk County Health Department,515-286-3895,"1907 Carpenter Ave. Des Moines, IA 50314",http://www.polkcountyiowa.gov/health/,"Clinic hours:
Tuesday         3:00 pm - 6:30 pm (by appointment)
Wednesday         9:00 am - 4:00 pm (by appointment)
Thursday         9:00 am - 4:00 pm (by appointment)
Friday         9:00 am - 1:00 pm (walk-ins)",Health Education,,,,N,N,N,N
HEALTHCARE,Polk County Health Department,515-286-3798,"1907 Carpenter Ave. Des Moines, IA 50314",http://www.polkcountyiowa.gov/health/,"Clinic hours:
Tuesday         3:00 pm - 6:30 pm (by appointment)
Wednesday         9:00 am - 4:00 pm (by appointment)
Thursday         9:00 am - 4:00 pm (by appointment)
Friday         9:00 am - 1:00 pm (walk-ins)",Immunizations - Childhood,,,Must be uninsured,N,N,N,N
HEALTHCARE,Polk County Health Department,515-286-3657,"1907 Carpenter Ave. Des Moines, IA 50314",http://www.polkcountyiowa.gov/health/,"Clinic hours:
Tuesday         3:00 pm - 6:30 pm (by appointment)
Wednesday         9:00 am - 4:00 pm (by appointment)
Thursday         9:00 am - 4:00 pm (by appointment)
Friday         9:00 am - 1:00 pm (walk-ins)",Immunizations - International Travel,,,,N,N,N,N
HEALTHCARE,Polk County Health Department,515-286-3642,"1907 Carpenter Ave. Des Moines, IA 50314",http://www.polkcountyiowa.gov/health/,"Clinic hours:
Tuesday         3:00 pm - 6:30 pm (by appointment)
Wednesday         9:00 am - 4:00 pm (by appointment)
Thursday         9:00 am - 4:00 pm (by appointment)
Friday         9:00 am - 1:00 pm (walk-ins)",Mammography (Breast Cancer Screening) Information,,,,N,N,N,N
HEALTHCARE,Polk County Health Department,515-286-3774,"1907 Carpenter Ave. Des Moines, IA 50314",http://www.polkcountyiowa.gov/health/,"Clinic hours:
Tuesday         3:00 pm - 6:30 pm (by appointment)
Wednesday         9:00 am - 4:00 pm (by appointment)
Thursday         9:00 am - 4:00 pm (by appointment)
Friday         9:00 am - 1:00 pm (walk-ins)",Laboratory,,,,N,N,N,N
HEALTHCARE,Polk County Health Department,515-286-3798,"1907 Carpenter Ave. Des Moines, IA 50314",http://www.polkcountyiowa.gov/health/,"Clinic hours:
Tuesday         3:00 pm - 6:30 pm (by appointment)
Wednesday         9:00 am - 4:00 pm (by appointment)
Thursday         9:00 am - 4:00 pm (by appointment)
Friday         9:00 am - 1:00 pm (walk-ins)",Sexually Transmitted Disease Clinic,,,,N,N,N,N
HEALTHCARE,Primary Health Care ,(515) 248-1500,"979 Oakridge Dr ,Des Moines, IA 50314",http://www.phcinc.net/,,"Family Practice,",,,,N,N,N,N
HEALTHCARE,Primary Health Care,(515) 248-1500,"979 Oakridge Dr ,Des Moines, IA 50314",http://www.phcinc.net/,,Pediatrics,,,,N,N,N,N
HEALTHCARE,Primary Health Care,(515) 248-1500,"979 Oakridge Dr ,Des Moines, IA 50314",http://www.phcinc.net/,,Obstetrics,,,,N,N,N,N
HEALTHCARE,Primary Health Care,(515) 248-1500,"979 Oakridge Dr ,Des Moines, IA 50314",http://www.phcinc.net/,,Gynecology,,,,N,N,N,N
HEALTHCARE,Primary Health Care,(515) 248-1500,"979 Oakridge Dr ,Des Moines, IA 50314",http://www.phcinc.net/,,"Internal Medicine,",,,,N,N,N,N
HEALTHCARE,Primary Health Care,(515) 248-1500,"979 Oakridge Dr ,Des Moines, IA 50314",http://www.phcinc.net/,,Immunizations,,,,N,N,N,N
HEALTHCARE,Primary Health Care,515-248-1470,2353 SE 14th. St.,http://www.phcinc.net/,,Comprehensive Dental Care,,,,N,N,N,N
HEALTHCARE,Primary Health Care,515-248-1470,2353 SE 14th. St.,http://www.phcinc.net/,,Acute & Chronic Illness Care,,,,N,N,N,N
HEALTHCARE,Primary Health Care,515-248-1470,2353 SE 14th. St.,http://www.phcinc.net/,,"Low-Cost Prescription DrugsTransportation Assistance,",,,,N,N,N,N
HEALTHCARE,Primary Health Care,515-248-1470,2353 SE 14th. St.,http://www.phcinc.net/,,Interpreter Services,,,,N,N,N,N
HEALTHCARE,Primary Health Care,515-248-1470,2353 SE 14th. St.,http://www.phcinc.net/,,Homeless and Housing Advocacy,,,,N,N,N,N
HEALTHCARE,Primary Health Care,515-248-1470,2353 SE 14th. St.,http://www.phcinc.net/,,Maternal/child home visitations,,,,N,N,N,N
HEALTHCARE,Primary Health Care,515-248-1470,2353 SE 14th. St.,http://www.phcinc.net/,,Lead poisoning/prevention services,,,,N,N,N,N
HEALTHCARE,Primary Health Care,515-248-1400,2353 SE 14th St.,http://www.phcinc.net/,,HIV Services,,,,N,N,N,N
